Fault,Testing Accuracy,Training Accuracy,Testing AUC,Training AUC
VLVStuck_Cooling_50,0.6423,0.6414,0.4398,0.44
Control_HeatingReverse,0.6563,0.6563,0.4626,0.4627
Fouling_Heating_Waterside_Minor,0.665,0.6662,0.4771,0.4781
OADMPRStuck_100,0.6684,0.6667,0.4806,0.4794
SensorBias_RMTemp_+2C,0.6686,0.6683,0.482,0.4816
VLVStuck_Heating_0,0.6696,0.6701,0.4829,0.4846
Fouling_Cooling_Airside_Moderate,0.6701,0.6715,0.4844,0.4869
VLVLeak_Cooling_80,0.671,0.6682,0.4832,0.4818
OADMPRStuck_0,0.6769,0.6756,0.4921,0.4936
Fouling_Cooling_Airside_Minor,0.6772,0.676,0.4957,0.4939
Fouling_Cooling_Waterside_Severe,0.6803,0.6802,0.5017,0.5001
VLVLeak_Heating_80,0.6805,0.6813,0.502,0.5022
VLVStuck_Cooling_20,0.6805,0.6816,0.5021,0.5024
VLVLeak_Cooling_20,0.6811,0.6795,0.5018,0.4992
VLVLeak_Heating_20,0.6836,0.6828,0.507,0.5043
Fouling_Cooling_Waterside_Moderate,0.6871,0.6881,0.5094,0.5127
Fouling_Cooling_Airside_Severe,0.6957,0.6932,0.524,0.5209
Fouling_Heating_Waterside_Moderate,0.6964,0.6972,0.5258,0.527
Control_Unstable,0.7047,0.7028,0.5352,0.5359
FilterRestriction_20%,0.7202,0.7212,0.5638,0.5639
Fouling_Heating_Airside_Severe,0.7651,0.7654,0.6326,0.6334
VLVStuck_Cooling_0,0.7824,0.7841,0.6612,0.6627
VLVLeak_Heating_50,0.8378,0.8375,0.7462,0.746
VLVStuck_Heating_20,0.838,0.8364,0.745,0.7444
FanOutletBlockage,0.8386,0.8395,0.7491,0.7492
SensorBias_RMTemp_-4C,0.8508,0.8505,0.7655,0.7664
OADMPRStuck_80,0.853,0.8539,0.7684,0.7718
Fouling_Cooling_Waterside_Minor,0.8614,0.8606,0.7838,0.7821
VLVStuck_Heating_80,0.8775,0.8784,0.8094,0.8099
Fouling_Heating_Airside_Moderate,0.8863,0.885,0.8234,0.8203
Fouling_Heating_Waterside_Severe,0.8915,0.8906,0.8299,0.8289
VLVStuck_Heating_50,0.8953,0.8953,0.8348,0.8364
VLVStuck_Heating_100,0.8957,0.895,0.8361,0.8359
SensorBias_RMTemp_-2C,0.9369,0.9375,0.9021,0.9023
OADMPRStuck_30,0.9436,0.9436,0.9117,0.9118
VLVStuck_Cooling_80,0.9445,0.9435,0.9146,0.9118
FilterRestriction_50%,0.9607,0.9607,0.9392,0.9389
FilterRestriction_10%,0.9635,0.9639,0.9435,0.9437
VLVLeak_Cooling_50,0.9797,0.98,0.969,0.9689
OADMPRStuck_50,0.9829,0.9821,0.9729,0.9717
Fouling_Heating_Airside_Minor,0.9866,0.9869,0.9791,0.9796
VLVStuck_Cooling_100,0.9896,0.9901,0.9829,0.9844
OABlockage,0.9901,0.9906,0.9844,0.9854
